Product_Id,Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total
FD6870,12.76,Low Sugar,0.035,Snack Foods,158.59,OUT004,2009,Medium,Tier 2,Supermarket Type2,3714.07
DR1429,17.54,Low Sugar,0.012,Soft Drinks,217.37,OUT003,1999,Medium,Tier 1,Departmental Store,5995.91
DR3999,12.02,Regular,0.013,Soft Drinks,201.24,OUT003,1999,Medium,Tier 1,Departmental Store,4419.17
FD3388,10.96,Regular,0.073,Frozen Foods,165.12,OUT004,2009,Medium,Tier 2,Supermarket Type2,3440.23
FD2137,13.32,Low Sugar,0.076,Fruits and Vegetables,175.0,OUT001,1987,High,Tier 2,Supermarket Type1,4175.82
FD3639,12.58,reg,0.093,Starchy Foods,159.98,OUT004,2009,Medium,Tier 2,Supermarket Type2,3702.04
FD1669,14.99,Low Sugar,0.042,Fruits and Vegetables,160.1,OUT003,1999,Medium,Tier 1,Departmental Store,4249.88
FD938,7.39,Low Sugar,0.013,Fruits and Vegetables,119.24,OUT002,1998,Small,Tier 3,Food Mart,1695.67
FD3775,12.82,Low Sugar,0.076,Fruits and Vegetables,150.09,OUT004,2009,Medium,Tier 2,Supermarket Type2,3553.53
NC6433,13.44,No Sugar,0.076,Household,137.65,OUT004,2009,Medium,Tier 2,Supermarket Type2,3440.0
FD2207,8.88,Low Sugar,0.115,Dairy,124.27,OUT002,1998,Small,Tier 3,Food Mart,2134.72
FD4768,11.56,Low Sugar,0.055,Meat,153.11,OUT004,2009,Medium,Tier 2,Supermarket Type2,3330.23
NC3563,13.23,No Sugar,0.047,Household,170.95,OUT001,1987,High,Tier 2,Supermarket Type1,4072.25
FD6460,9.84,Low Sugar,0.043,Frozen Foods,138.63,OUT004,2009,Medium,Tier 2,Supermarket Type2,2646.15
FD2470,10.78,Regular,0.152,Frozen Foods,135.65,OUT004,2009,Medium,Tier 2,Supermarket Type2,2796.1
FD6858,7.54,Low Sugar,0.079,Fruits and Vegetables,153.76,OUT001,1987,High,Tier 2,Supermarket Type1,2435.08
FD2387,10.32,Regular,0.025,Snack Foods,122.2,OUT001,1987,High,Tier 2,Supermarket Type1,2417.92
FD1826,13.45,Regular,0.045,Frozen Foods,153.59,OUT004,2009,Medium,Tier 2,Supermarket Type2,3768.47
